ID,Date,Description,Priorite
INC00000410,2023-11-26,Question procédure changement mot de passe,TRES BAS
INC00000411,2023-12-13,Demande formation module analyse risque,TRES BAS
INC00000412,2024-01-30,Information critères éligibilité crédit auto,TRES BAS
INC00000413,2024-02-16,Question utilisation fonction tri colonnes,TRES BAS
INC00000414,2024-03-05,Demande guide utilisation calculatrice intégrée,TRES BAS
INC00000415,2024-04-22,Information procédure modification données client,TRES BAS
INC00000416,2024-05-09,Question accès module veille réglementaire,TRES BAS
INC00000417,2024-06-26,Demande explication processus validation manuelle,TRES BAS
INC00000418,2024-07-13,Information délai mise disposition crédit,TRES BAS
INC00000419,2024-08-30,Question utilisation fonction copier-coller avancé,TRES BAS
INC00000420,2024-09-16,Demande manuel utilisateur module treasury,TRES BAS
INC00000421,2024-10-03,Information procédure récupération données perdues,TRES BAS
INC00000422,2024-11-20,Question configuration thème couleur application,TRES BAS
INC00000423,2024-12-07,Demande formation module business intelligence,TRES BAS
INC00000424,2025-01-24,Information politique sauvegarde utilisateur,TRES BAS
INC00000425,2025-02-10,Question utilisation fonction graphique dynamique,TRES BAS
INC00000426,2025-03-29,Demande guide configuration environnement travail,TRES BAS
INC00000427,2025-04-16,Information procédure signalement dysfonctionnement,TRES BAS
INC00000428,2025-05-03,Question accès centre documentation technique,TRES BAS
INC00000429,2023-01-14,Incident SAB : validation crédit micro-entreprise,MODERE
INC00000430,2023-02-01,Problème traitement ordre vente titre,MODERE
INC00000431,2023-03-20,Erreur validation dossier financement navire,MODERE
INC00000432,2023-04-07,Incident extraction données lutte terrorisme,MODERE
INC00000433,2023-05-24,Blocage temporaire validation swap taux,MODERE
INC00000434,2023-06-10,Problème génération état consolidé groupe,MODERE
INC00000435,2023-07-27,Incident SAB : transfert dossier divorce,MODERE
INC00000436,2023-08-13,Erreur traitement commission crédit documentaire,MODERE
INC00000437,2023-09-30,Problème validation ouverture compte entreprise,MODERE
INC00000438,2023-10-17,Incident génération fichier déclaration sociale,MODERE
INC00000439,2023-11-04,Blocage validation restructuration dette,MODERE
INC00000440,2023-12-21,Problème extraction rapport adéquation fonds,MODERE
INC00000441,2024-01-08,Incident traitement crédit bail maritime,MODERE
INC00000442,2024-02-25,Erreur validation garantie export confirmée,MODERE
INC00000443,2024-03-14,Problème synchronisation position comptable,MODERE
INC00000444,2024-04-01,Incident SAB : validation prêt relais immobilier,MODERE
INC00000445,2024-05-18,Blocage traitement lettre garantie première,MODERE
INC00000446,2024-06-04,Problème génération état flux liquidité,MODERE
INC00000447,2024-07-21,Incident validation crédit-bail informatique,MODERE
INC00000448,2024-08-07,Erreur traitement obligation indexée,MODERE
INC00000449,2024-09-24,Problème extraction données modèle interne,MODERE
INC00000450,2024-10-11,Incident validation ouverture compte fiducie,MODERE
INC00000451,2024-11-28,Blocage traitement forward devise émergente,MODERE
INC00000452,2024-12-15,Problème génération rapport solvabilité,MODERE
INC00000453,2025-01-02,Incident SAB : transfert succession internationale,MODERE
INC00000454,2025-02-19,Erreur validation financement vert durable,MODERE
INC00000455,2025-03-08,Problème traitement crédit syndiqué international,MODERE
INC00000456,2025-04-25,Incident génération état GAP liquidité,MODERE
INC00000457,2025-05-12,Blocage validation acquisition participation,MODERE
INC00000458,2023-01-21,Demande création compte formation utilisateur,BAS
INC00000459,2023-02-07,Incident impression accusé réception virement,BAS
INC00000460,2023-03-26,Problème accès module consultation assurance,BAS
INC00000461,2023-04-13,Demande modification paramètre session,BAS
INC00000462,2023-05-30,Incident configuration widget actualité économique,BAS
INC00000463,2023-06-16,Problème synchronisation données comptabilité auxiliaire,BAS
INC00000464,2023-07-03,Demande installation lecteur code barre,BAS
INC00000465,2023-08-20,Incident mineur validation code devise,BAS
INC00000466,2023-09-06,Problème configuration disposition écran,BAS
INC00000467,2023-10-23,Demande accès module formation sécurité,BAS
INC00000468,2023-11-09,Incident création modèle lettre standard,BAS
INC00000469,2023-12-26,Problème synchronisation calendrier partagé service,BAS
INC00000470,2024-01-13,Demande activation notification email transaction,BAS
INC00000471,2024-02-29,Incident impression étiquette adresse client,BAS
INC00000472,2024-03-18,Problème accès archive document numérique,BAS
INC00000473,2024-04-05,Demande formation système notation crédit,BAS
INC00000474,2024-05-22,Incident configuration signature batch automatique,BAS
INC00000475,2024-06-08,Problème synchronisation répertoire téléphonique,BAS
INC00000476,2024-07-25,Demande création widget personnalisé,BAS
INC00000477,2024-08-11,Incident mineur validation identifiant fiscal,BAS
INC00000478,2024-09-28,Problème configuration proxy authentification,BAS
INC00000479,2024-10-15,Demande accès module analyse comportement client,BAS
INC00000480,2024-11-02,Incident création profil utilisateur consultant,BAS
INC00000481,2024-12-19,Problème synchronisation base formation,BAS
INC00000482,2025-01-05,Demande installation codec multimedia,BAS
INC00000483,2025-02-22,Incident configuration notification système,BAS
INC00000484,2025-03-11,Problème accès module consultation économique,BAS
INC00000485,2025-04-28,Demande formation interface web banking,BAS
INC00000486,2025-05-15,Incident mineur génération code client,BAS
INC00000487,2023-02-14,Question procédure validation dossier professionnel,TRES BAS
INC00000488,2023-03-03,Demande explication fonctionnalité recherche avancée client,TRES BAS
INC00000489,2023-04-20,Information délai traitement demande carte,TRES BAS
INC00000490,2023-05-07,Question utilisation module optimisation portefeuille,TRES BAS
INC00000491,2023-06-24,Demande guide configuration dashboard métier,TRES BAS
INC00000492,2023-07-11,Information procédure demande habilitation spéciale,TRES BAS
INC00000493,2023-08-28,Question configuration filtre rapport personnalisé,TRES BAS
INC00000494,2023-09-14,Demande explication tarification service bancaire,TRES BAS
INC00000495,2023-10-01,Information horaire disponibilité service technique,TRES BAS
INC00000496,2023-11-18,Question procédure réactivation compte suspendu,TRES BAS
INC00000497,2023-12-05,Demande formation module conformité réglementaire,TRES BAS
INC00000498,2024-01-22,Information critères validation crédit professionnel,TRES BAS
INC00000499,2024-02-08,Question utilisation fonction fusion document,TRES BAS
INC00000500,2024-03-27,Demande guide utilisation terminal paiement,TRES BAS
INC00000501,2024-04-14,Information procédure modification limite découvert,TRES BAS
INC00000502,2024-05-31,Question accès module intelligence artificielle,TRES BAS
INC00000503,2024-06-17,Demande explication algorithme scoring crédit,TRES BAS
INC00000504,2024-07-04,Information délai traitement réclamation client,TRES BAS
INC00000505,2024-08-21,Question utilisation fonction annotation document,TRES BAS
INC00000506,2024-09-07,Demande manuel utilisateur module compliance,TRES BAS
INC00000507,2024-10-24,Information procédure déclaration opération suspecte,TRES BAS
INC00000508,2024-11-10,Question configuration widget cours matières premières,TRES BAS
INC00000509,2024-12-27,Demande formation module machine learning,TRES BAS
INC00000510,2025-01-14,Information politique utilisation données client,TRES BAS
INC00000511,2025-02-01,Question utilisation fonction visualisation données,TRES BAS
INC00000512,2025-03-20,Demande guide configuration intelligence métier,TRES BAS
INC00000513,2025-04-07,Information procédure audit sécurité système,TRES BAS
INC00000514,2025-05-24,Question accès laboratoire innovation bancaire,TRES BAS
INC00000515,2023-01-27,Incident SAB : validation crédit coopérative agricole,MODERE
INC00000516,2023-02-13,Problème traitement ordre arbitrage portefeuille,MODERE
INC00000517,2023-03-02,Erreur validation financement équipement médical,MODERE
INC00000518,2023-04-19,Incident extraction données embargo international,MODERE
INC00000519,2023-05-06,Blocage temporaire validation option devise,MODERE
INC00000520,2023-06-23,Problème génération bilan consolidé IFRS,MODERE
INC00000521,2023-07-10,Incident SAB : transfert tutelle majeur protégé,MODERE
INC00000522,2023-08-27,Erreur traitement frais gestion portefeuille,MODERE
INC00000523,2023-09-13,Problème validation ouverture compte professionnel,MODERE
INC00000524,2023-10-30,Incident génération déclaration fiscale IS,MODERE
INC00000525,2023-11-16,Blocage validation renégociation crédit,MODERE
INC00000526,2023-12-03,Problème extraction rapport limite exposition,MODERE
INC00000527,2024-01-20,Incident traitement crédit-bail aéronautique,MODERE
INC00000528,2024-02-06,Erreur validation caution marchés publics,MODERE
INC00000529,2024-03-25,Problème synchronisation cours matières premières,MODERE
INC00000530,2024-04-11,Incident SAB : validation crédit photovoltaïque,MODERE
INC00000531,2024-05-28,Blocage traitement garantie bancaire internationale,MODERE
INC00000532,2024-06-14,Problème génération tableau flux trésorerie,MODERE
INC00000533,2024-07-01,Incident validation financement acquisition société,MODERE
INC00000534,2024-08-18,Erreur traitement produit dérivé complexe,MODERE
INC00000535,2024-09-04,Problème extraction données stress test EBA,MODERE
INC00000536,2024-10-21,Incident validation compte séquestre notaire,MODERE
INC00000537,2024-11-07,Blocage traitement swap cross currency,MODERE
INC00000538,2024-12-24,Problème génération reporting Pilier III,MODERE
INC00000539,2025-01-11,Incident SAB : transfert mandat gestion,MODERE
INC00000540,2025-02-28,Erreur validation financement énergies renouvelables,MODERE
INC00000541,2025-03-17,Problème traitement crédit impact social,MODERE
INC00000542,2025-04-04,Incident génération état ratio prudentiel,MODERE
INC00000543,2025-05-21,Blocage validation fusion acquisition bancaire,MODERE
INC00000544,2023-01-10,Demande création accès formation compliance,BAS
INC00000545,2023-02-27,Incident impression convention compte entreprise,BAS
INC00000546,2023-03-15,Problème accès module consultation réglementation,BAS
INC00000547,2023-04-02,Demande modification paramètre authentification,BAS
INC00000548,2023-05-19,Incident configuration notification réglementaire,BAS
INC00000549,2023-06-05,Problème synchronisation référentiel client,BAS
INC00000550,2023-07-22,Demande installation lecteur biométrique,BAS
INC00000551,2023-08-08,Incident mineur validation BIC international,BAS
INC00000552,2023-09-25,Problème configuration layout personnalisé,BAS
INC00000553,2023-10-12,Demande accès module formation digital banking,BAS
INC00000554,2023-11-29,Incident création template reporting automatique,BAS
INC00000555,2023-12-16,Problème synchronisation planning formation,BAS
INC00000556,2024-01-03,Demande activation service mobile banking,BAS
INC00000557,2024-02-20,Incident impression relevé opération terme,BAS
INC00000558,2024-03-09,Problème accès bibliothèque document technique,BAS
INC00000559,2024-04-26,Demande formation algorithme intelligence artificielle,BAS
INC00000560,2024-05-13,Incident configuration watermark document,BAS
INC00000561,2024-06-30,Problème synchronisation données marché financier,BAS
INC00000562,2024-07-17,Demande création dashboard performance,BAS
INC00000563,2024-08-04,Incident mineur validation code BIC,BAS
INC00000564,2024-09-21,Problème configuration authentification forte,BAS
INC00000565,2024-10-08,Demande accès module innovation fintech,BAS
INC00000566,2024-11-25,Incident création profil data scientist,BAS
INC00000567,2024-12-12,Problème synchronisation base machine learning,BAS
INC00000568,2025-01-29,Demande installation framework blockchain,BAS
INC00000569,2025-02-15,Incident configuration API bancaire,BAS
